profile_id,algorithm,run,fitness,time_s,target_cal,achieved_cal,cal_penalty,days_cal_ok,days_macro_ok,hard_constraints_ok,allergy_violations,dislike_violations,likes_included
1,ACO,11,3873.0,92.21064472198486,2700.0,2702.43,0.0,7,7,True,0,0,0
1,ACO,12,3884.0,80.00185966491699,2700.0,2701.14,0.0,7,7,True,0,0,0
1,ACO,13,3872.0,79.97251081466675,2700.0,2700.86,0.0,7,7,True,0,0,0
1,ACO,14,3871.0,81.58686685562134,2700.0,2701.57,0.0,7,7,True,0,0,0
1,ACO,15,3871.0,87.3688452243805,2700.0,2698.14,0.0,7,7,True,0,0,0
1,ACO,16,3887.0,85.0950231552124,2700.0,2697.29,0.0,7,7,True,0,0,0
1,ACO,17,3862.0,80.65863823890686,2700.0,2698.86,0.0,7,7,True,0,0,0
1,ACO,18,3873.0,88.2312400341034,2700.0,2698.71,0.0,7,7,True,0,0,0
1,ACO,19,3873.0,84.21078443527222,2700.0,2697.86,0.0,7,7,True,0,0,0
1,ACO,20,3868.0,88.69739842414856,2700.0,2701.14,0.0,7,7,True,0,0,0
1,ACO,21,3879.0,89.97838258743286,2700.0,2699.57,0.0,7,7,True,0,0,0
1,ACO,22,3871.0,88.03590273857117,2700.0,2699.57,0.0,7,7,True,0,0,0
1,ACO,23,3894.0,87.26800799369812,2700.0,2702.29,0.0,7,7,True,0,0,0
1,ACO,24,3884.0,79.62409472465515,2700.0,2697.43,0.0,7,7,True,0,0,0
1,ACO,25,3877.0,73.44390153884888,2700.0,2701.86,0.0,7,7,True,0,0,0
1,ACO,26,3871.0,72.37424874305725,2700.0,2701.0,0.0,7,7,True,0,0,0
1,ACO,27,3871.0,72.6795449256897,2700.0,2701.57,0.0,7,7,True,0,0,0
1,ACO,28,3874.0,73.60244417190552,2700.0,2701.14,0.0,7,7,True,0,0,0
1,ACO,29,3901.0,73.59488892555237,2700.0,2694.14,0.0,7,7,True,0,0,0
1,ACO,30,3868.0,74.00382971763611,2700.0,2701.43,0.0,7,7,True,0,0,0
2,GA,1,3254.85,9.621287822723389,2567.85,2567.29,0.0,7,7,True,0,1,13
2,GA,2,3167.037336080928,8.823649883270264,2567.85,2568.71,0.0,7,6,True,0,0,14
2,GA,3,3154.7500000000005,8.586500644683838,2567.85,2568.0,0.0,7,7,True,0,0,14
2,GA,4,3106.85,8.856557846069336,2567.85,2567.29,0.0,7,7,True,0,0,15
2,GA,5,3005.5499999999997,8.734903573989868,2567.85,2567.14,0.0,7,7,True,0,0,17
2,GA,6,3207.4500000000003,8.691672086715698,2567.85,2568.43,0.0,7,7,True,0,0,13
2,GA,7,3017.15,8.816874265670776,2567.85,2566.14,0.0,7,7,True,0,1,18
2,GA,8,3208.15,8.907050609588623,2567.85,2568.29,0.0,7,7,True,0,1,14
2,GA,9,3301.7500000000005,9.968585729598999,2567.85,2567.86,0.0,7,7,True,0,1,12
2,GA,10,3156.15,10.022531509399414,2567.85,2567.43,0.0,7,7,True,0,2,16
2,GA,11,3217.5499999999997,8.722079277038574,2567.85,2566.29,0.0,7,7,True,0,2,15
2,GA,12,3208.85,8.888453722000122,2567.85,2568.14,0.0,7,7,True,0,1,14
2,GA,13,3107.15,8.789969682693481,2567.85,2568.14,0.0,7,7,True,0,1,16
2,GA,14,3002.0500000000006,9.049171209335327,2567.85,2568.14,0.0,7,7,True,0,0,17
